Price Date,Max Price
06-12-2014,1282
08-12-2014,1414
11-02-2015,1660
25-03-2015,1313
26-03-2015,1370
27-03-2015,1361
02-04-2015,1400
04-04-2015,1400
06-04-2015,1500
06-04-2015,1420
07-04-2015,1435
08-04-2015,1460
09-04-2015,1460
09-04-2015,1400
10-04-2015,1351
11-04-2015,1500
11-04-2015,1381
13-04-2015,1500
13-04-2015,1375
14-04-2015,1375
15-04-2015,1372
16-04-2015,1450
16-04-2015,1375
17-04-2015,1368
20-04-2015,1368
23-04-2015,1399
24-04-2015,1414
25-04-2015,1431
27-04-2015,1452
28-04-2015,1441
29-04-2015,1476
30-04-2015,1470
02-05-2015,1499
05-05-2015,1600
06-05-2015,1699
07-05-2015,1700
08-05-2015,1727
09-05-2015,1625
11-05-2015,1599
12-05-2015,1611
13-05-2015,1581
14-05-2015,1556
15-05-2015,1668
16-05-2015,1625
19-05-2015,1665
20-05-2015,1680
21-05-2015,1706
22-05-2015,1705
23-05-2015,1825
25-05-2015,1700
26-05-2015,1762
27-05-2015,1781
28-05-2015,1800
29-05-2015,1836
30-05-2015,1868
03-06-2015,1975
04-06-2015,2000
05-06-2015,2100
06-06-2015,2700
06-06-2015,1960
08-06-2015,2800
08-06-2015,2180
09-06-2015,2102
10-06-2015,2100
11-06-2015,2500
11-06-2015,2062
13-06-2015,2350
13-06-2015,1980
15-06-2015,2500
15-06-2015,2015
17-06-2015,2031
18-06-2015,1999
19-06-2015,1962
20-06-2015,2400
20-06-2015,2001
22-06-2015,2400
22-06-2015,1955
23-06-2015,1903
24-06-2015,1900
25-06-2015,2300
25-06-2015,1881
26-06-2015,1892
27-06-2015,1800
29-06-2015,2200
29-06-2015,1921
30-06-2015,1840
01-07-2015,1922
02-07-2015,2100
02-07-2015,1921
03-07-2015,1900
04-07-2015,2300
04-07-2015,1854
06-07-2015,2300
06-07-2015,1901
07-07-2015,1880
08-07-2015,1971
09-07-2015,1951
10-07-2015,1960
11-07-2015,1919
13-07-2015,2152
14-07-2015,2285
15-07-2015,2236
17-07-2015,2210
18-07-2015,2500
20-07-2015,3000
20-07-2015,2400
21-07-2015,2653
22-07-2015,2768
23-07-2015,3500
23-07-2015,2770
24-07-2015,2781
25-07-2015,3250
25-07-2015,2763
28-07-2015,3782
29-07-2015,3579
31-07-2015,3446
01-08-2015,3476
03-08-2015,3850
04-08-2015,3962
05-08-2015,3900
06-08-2015,3787
07-08-2015,3602
08-08-2015,3700
10-08-2015,3730
11-08-2015,3771
12-08-2015,4001
13-08-2015,4012
17-08-2015,4711
19-08-2015,4885
20-08-2015,6100
20-08-2015,5516
21-08-2015,6151
22-08-2015,8500
22-08-2015,6326
24-08-2015,6500
25-08-2015,5568
26-08-2015,5599
27-08-2015,6300
27-08-2015,5580
28-08-2015,5599
31-08-2015,6000
31-08-2015,5201
01-09-2015,4881
02-09-2015,4900
03-09-2015,5100
03-09-2015,4813
04-09-2015,4749
05-09-2015,5500
05-09-2015,4680
07-09-2015,6000
07-09-2015,5101
08-09-2015,5226
09-09-2015,5452
10-09-2015,6700
10-09-2015,5401
14-09-2015,4701
15-09-2015,4481
16-09-2015,4570
19-09-2015,4267
21-09-2015,4215
22-09-2015,4300
23-09-2015,3800
24-09-2015,3981
28-09-2015,4081
29-09-2015,4001
30-09-2015,3900
01-10-2015,4300
01-10-2015,3878
03-10-2015,4200
03-10-2015,3952
05-10-2015,5100
05-10-2015,4001
06-10-2015,4080
07-10-2015,4382
08-10-2015,5000
08-10-2015,3776
09-10-2015,3900
13-10-2015,3200
14-10-2015,3011
15-10-2015,3201
16-10-2015,3067
17-10-2015,3051
19-10-2015,2789
20-10-2015,2870
21-10-2015,3152
23-10-2015,3300
24-10-2015,3725
26-10-2015,4325
26-10-2015,3891
27-10-2015,3700
28-10-2015,3705
29-10-2015,4001
30-10-2015,3000
31-10-2015,3900
31-10-2015,4051
02-11-2015,4201
03-11-2015,4400
04-11-2015,4401
05-11-2015,3812
06-11-2015,4402
07-11-2015,3500
07-11-2015,4100
16-11-2015,2960
17-11-2015,4201
19-11-2015,3312
20-11-2015,4100
23-11-2015,3301
24-11-2015,3770
26-11-2015,2901
27-11-2015,2200
08-01-2016,1481
14-01-2016,1800
16-01-2016,1950
23-01-2016,2000
28-01-2016,1825
30-01-2016,1800
01-02-2016,1600
01-02-2016,1385
04-02-2016,1575
11-02-2016,1011
12-02-2016,846
16-02-2016,811
17-02-2016,748
20-02-2016,1081
22-02-2016,1100
22-02-2016,968
23-02-2016,971
24-02-2016,931
25-02-2016,976
26-02-2016,935
29-02-2016,941
01-03-2016,925
02-03-2016,876
03-03-2016,1000
03-03-2016,900
04-03-2016,952
05-03-2016,862
08-03-2016,900
10-03-2016,930
11-03-2016,888
14-03-2016,799
15-03-2016,800
16-03-2016,802
17-03-2016,787
18-03-2016,840
19-03-2016,800
21-03-2016,940
22-03-2016,919
05-04-2016,886
06-04-2016,953
08-04-2016,920
09-04-2016,975
11-04-2016,842
12-04-2016,931
13-04-2016,916
16-04-2016,885
18-04-2016,900
18-04-2016,917
20-04-2016,900
21-04-2016,901
22-04-2016,900
25-04-2016,890
26-04-2016,870
27-04-2016,911
28-04-2016,905
29-04-2016,934
30-04-2016,945
02-05-2016,910
03-05-2016,918
04-05-2016,919
05-05-2016,945
06-05-2016,950
07-05-2016,1000
07-05-2016,872
09-05-2016,901
10-05-2016,894
11-05-2016,902
12-05-2016,899
13-05-2016,900
16-05-2016,950
16-05-2016,899
17-05-2016,915
18-05-2016,921
19-05-2016,1000
19-05-2016,951
20-05-2016,971
23-05-2016,940
24-05-2016,1004
25-05-2016,982
26-05-2016,945
27-05-2016,977
28-05-2016,1200
30-05-2016,915
31-05-2016,951
01-06-2016,963
02-06-2016,912
03-06-2016,940
04-06-2016,1425
06-06-2016,952
07-06-2016,961
08-06-2016,1013
09-06-2016,1305
09-06-2016,1020
10-06-2016,1001
11-06-2016,1250
13-06-2016,940
14-06-2016,941
15-06-2016,952
16-06-2016,1325
16-06-2016,950
17-06-2016,973
18-06-2016,1400
20-06-2016,1450
21-06-2016,1000
22-06-2016,1000
23-06-2016,981
24-06-2016,1005
27-06-2016,1325
27-06-2016,963
28-06-2016,956
29-06-2016,936
30-06-2016,932
01-07-2016,1001
02-07-2016,955
05-07-2016,935
07-07-2016,970
08-07-2016,976
14-07-2016,1200
16-07-2016,1225
18-07-2016,1150
21-07-2016,1100
23-07-2016,1150
26-07-2016,952
27-07-2016,916
28-07-2016,1025
28-07-2016,889
29-07-2016,918
30-07-2016,1100
30-07-2016,922
01-08-2016,1050
01-08-2016,890
03-08-2016,921
04-08-2016,1105
04-08-2016,951
05-08-2016,925
06-08-2016,1100
06-08-2016,912
08-08-2016,1125
08-08-2016,951
09-08-2016,882
10-08-2016,881
11-08-2016,1100
11-08-2016,882
12-08-2016,888
13-08-2016,1075
15-08-2016,1225
16-08-2016,865
18-08-2016,1110
19-08-2016,812
20-08-2016,1175
20-08-2016,840
22-08-2016,1100
22-08-2016,840
23-08-2016,858
24-08-2016,860
25-08-2016,1050
26-08-2016,848
27-08-2016,1025
27-08-2016,840
29-08-2016,826
31-08-2016,840
02-09-2016,1075
02-09-2016,794
03-09-2016,1075
03-09-2016,759
06-09-2016,1050
07-09-2016,719
08-09-2016,950
08-09-2016,716
09-09-2016,641
10-09-2016,1000
12-09-2016,1000
13-09-2016,667
16-09-2016,623
17-09-2016,1000
17-09-2016,551
19-09-2016,900
24-09-2016,900
26-09-2016,900
26-09-2016,531
29-09-2016,556
01-10-2016,925
01-10-2016,534
03-10-2016,900
04-10-2016,725
05-10-2016,825
06-10-2016,1000
06-10-2016,762
07-10-2016,900
08-10-2016,1050
10-10-2016,1000
10-10-2016,983
11-10-2016,920
13-10-2016,1000
13-10-2016,902
14-10-2016,928
15-10-2016,925
17-10-2016,814
18-10-2016,1050
18-10-2016,885
19-10-2016,931
20-10-2016,1100
20-10-2016,915
21-10-2016,951
22-10-2016,1000
24-10-2016,1100
24-10-2016,1002
25-10-2016,1012
03-11-2016,1000
04-11-2016,1255
04-11-2016,941
05-11-2016,1500
07-11-2016,1200
07-11-2016,1001
08-11-2016,932
09-11-2016,988
14-11-2016,1400
18-11-2016,945
21-11-2016,1400
21-11-2016,920
22-11-2016,752
24-11-2016,795
25-11-2016,880
28-11-2016,775
30-11-2016,704
01-12-2016,951
02-12-2016,900
05-12-2016,651
06-12-2016,725
07-12-2016,556
13-12-2016,555
14-12-2016,600
15-12-2016,570
30-12-2016,735
02-01-2017,1130
05-01-2017,798
06-03-2017,641
07-03-2017,775
07-03-2017,647
08-03-2017,651
09-03-2017,750
09-03-2017,647
10-03-2017,646
14-03-2017,658
15-03-2017,672
16-03-2017,672
20-03-2017,697
21-03-2017,700
21-03-2017,686
22-03-2017,698
23-03-2017,700
23-03-2017,697
25-03-2017,715
25-03-2017,681
03-04-2017,640
05-04-2017,641
06-04-2017,700
06-04-2017,671
